1921-1217,Sables d'Olonne,,,W,19210815,1,256239,,, De Laprade,U,,FRA,,254821,,,B Muller,U,,SUI,,8-6 6-4,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1924-1258,Zermatt,Clay,,W,19240811,1,253396,,, De Prelle,U,,SUI,,248729,,, Foster,U,,,,6-1 6-1,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1924-1351,Lyon,Carpet,,W,19241222,1,253614,,, De Querezieux,U,,FRA,,253615,,,G Cozon,U,,FRA,,6-3 3-6 6-4,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1921-1244,Champery,Clay,,W,19210829,1,256289,,, De Rinn,U,,SUI,,256290,,, Nielsen,U,,SUI,,7-5 6-0,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1938-1223,Abbazia,Clay,,W,19380711,19,239860,,, De Rossi,U,,ITA,,239248,,,Anna Maria Frisacco,U,,ITA,,2-6 6-0 7-5,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1939-1273,Wengen,Clay,,W,19390814,1,238985,,, De Stael,U,,SUI,,236532,,, Walthard,U,,SUI,,13-11 6-3,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1922-1213,Morgins,Clay,,W,19220807,3,250451,,, De Trey,U,,SUI,,255355,,, Henneberg,U,,SUI,,6-0 6-2,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1931-1230,Montana 1,Clay,,W,19310718,1,245676,,, De Weck,U,,SUI,,245677,,, Turettini,U,,SUI,,6-2 6-4,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1933-1360,Tours,Clay,,W,19330911,1,243964,,, Delageniere,U,,FRA,,243965,,, Espinasse,U,,FRA,,7-5 8-10 6-4,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1959-1365,Nicoscia,,,W,19591102,1,262852,,, Delany,U,,CYP,,263049,,,Mrs J Denver,U,,CYP,,6-1 6-1,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1925-1001,Dieppe,Clay,,W,19250719,1,242201,,, Derouen,U,,FRA,,251602,,,Y Rouard,U,,FRA,,6-3 6-4,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1925-1245,Mont-Dore,Clay,,W,19250803,1,252191,,, Desclos,U,,FRA,,252192,,, Girou,U,,FRA,,6-1 6-3,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1938-1401,Lausanne Montchoisi,Clay,,W,19380919,1,236759,,, Devrient,U,,SUI,,240101,,, Bridel,U,,SUI,,6-3 6-1,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1935-1158,Swinemunde,Clay,,W,19350711,1,242019,,, Diedrichs,U,,GER,,230522,,,Gisela Enger,U,,GER,23.9,2-6 6-3 6-4,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1923-1073,Prague,Clay,,W,19230523,1,253956,,, Dolle,U,,CZE,,238099,,,Gerta Amende,U,,CZE,20.5,6-4 7-5,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1923-1121,Greenville,,,W,19230618,7,254130,,, Du Pre,U,,USA,,254127,,,Ellen Perry,U,,USA,,6-2 6-2,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1927-1281,Saint-Honore-les-Bains,Clay,,W,19270801,1,246246,,, Dubois,U,,FRA,,250266,,, Bramard,U,,FRA,,4-6 6-2 6-4,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1927-1284,Montana,Clay,,W,19270804,1,250267,,, Duchene,U,,SUI,,250268,,, Renard,U,,ROU,,6-5 6-2,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1940-1161,Lausanne,Clay,,W,19400930,1,238033,,, Dumuid,U,,SUI,,236844,,,Jacqueline Weiss,U,,SUI,,6-4 0-6 6-3,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1934-1241,Montreux Caux-Palace,Clay,,W,19340731,1,242949,,, Epstein,U,,FRA,,242950,,, Leroux,U,,FRA,,6-2 6-4,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1945-1043,Villars-sur-Ollon,Clay,,W,19450716,1,235333,,, Essinger,U,,SUI,,235334,,, Sfezzo,U,,SUI,,UNK,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1944-1030,Monte Carlo,Clay,,W,19440622,1,235726,,, Falconetti,U,,,,231478,,,Daisy Speranza Wyns,U,,FRA,54.0,6-3 6-3,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1931-1177,Basel,Clay,,W,19310622,1,242033,,, Fehlmann,U,,SUI,,238291,,,Germaine Charnelet,U,,FRA,31.2,6-1 6-4,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1934-1171,Berne,Clay,,W,19340625,1,242033,,, Fehlmann,U,,SUI,,242172,,,E Stalder,U,,SUI,,6-2 6-0,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1921-1237,Vichy,,,W,19210822,1,256283,,, Ferval,U,,FRA,,244102,,,Juliette Martin,U,,FRA,,5-6 6-2 7-5,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1939-1043,Rabat,Clay,,W,19390323,1,238487,,, Follweider,U,,MAR,,238488,,, Lannefranque,U,,MAR,,6-4 6-2,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1964-1368,Dieppe,,,W,19640723,1,261745,,, Fontaliran,U,,FRA,,261746,,, Clement,U,,FRA,,6-4 6-4,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1941-1043,Dresden Sectional,Clay,,W,19410613,1,237128,,, Forster,U,,GER,,237129,,, Heidrich,U,,GER,,6-2 6-3,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1924-1257,Southwold,,,W,19240811,1,253395,,, Fose,U,,GBR,,245153,,,E Jones,U,,AUS,,7-5 6-3,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1931-1298,Villers-sur-Mer,Clay,,W,19310810,1,245790,,, Fougeres,U,,FRA,,242502,,,Helene Haran,U,,FRA,,6-3 7-5,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1926-1291,Cercany,Clay,,W,19260829,1,246981,,, Froehlich,U,,CZE,,251341,,, Rudolfova,U,,CZE,,UNK,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1942-1090,Warsaw,Clay,,W,19420824,1,236882,,, Fussganger,U,,GER,,236883,,, Schoenbauer,U,,GER,,6-2 3-6 6-3,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1963-1134,Budapest Meteor's Cup,,,W,19630702,3,226063,,, Garamavolgyine,U,,HUN,,225282,,,Zsuza Kunovits,U,,HUN,,6-4 7-5,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1924-1264,Saint-Gervais-les-Bains,Clay,,W,19240811,1,243933,,, Garcia,U,,SUI,,244819,,, Margue,U,,SUI,,4-6 6-1 6-3,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1927-1120,Prague Chps,Clay,,W,19270524,1,249921,,, Garkisch,U,,CZE,,249922,,, Barbieri,U,,,,6-3 6-1,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1933-1165,Lausanne,Clay,,W,19330703,1,241477,,, Giesker,U,,SUI,,243723,,, Folmer,U,,SUI,,6-0 6-1,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1924-1259,Montana,Clay,,W,19240811,1,253397,,, Gillestie,U,,GBR,,253398,,, Maberly,U,,SUI,,6-2 6-3,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1933-1305,Plombieres-les-Bains,Clay,,W,19330821,1,243935,,, Gillot,U,,FRA,,243936,,, De Kap Herr,U,,FRA,,6-4 6-8 6-4,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1921-1029,Oran,Clay,,W,19210331,1,252192,,, Girou,U,,FRA,,255738,,, Giraud,U,,FRA,,6-3 6-2,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1925-1072,Algiers North Africa Chps,Clay,,W,19250419,1,247770,,, Giroud,U,,FRA,,251763,,,S Damin,U,,FRA,,6-4 6-4,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1926-1049,Oran,Clay,,W,19260327,1,247770,,, Giroud,U,,FRA,,238644,,,M L Huillier,U,,FRA,,6-1 6-1,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1929-1059,Oran,Clay,,W,19290325,1,247770,,, Giroud,U,,FRA,,247771,,,S Minel,U,,FRA,,6-4 4-6 6-3,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1963-1368,Villers-sur-Mer,,,W,19630823,1,262141,,, Gondard,U,,SUI,,262142,,,Mrs Pecquenard,U,,SUI,,8-6 6-2,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1936-1322,Saint-Aubin,Clay,,W,19360811,1,239031,,, Grenier,U,,FRA,,241475,,, Huard,U,,FRA,,6-4 6-1,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1931-1326,Bydgoszcz,Clay,,W,19310815,1,245830,,, Gross,U,,GER,,245831,,,Baroness Dellingshausen,U,,GER,,6-3 6-4,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1929-1173,Beuthen,Clay,,W,19290614,1,248054,,, Grzymek,U,,GER,,248055,,, Stephan,U,,GER,,6-2 6-3,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1939-1125,Megrine,Hard,,W,19390605,1,238710,,, Guichard,U,,TUN,,238711,,, Cohen,U,,TUN,,6-2 10-8,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1921-1290,Bonn,,,W,19210926,1,256377,,, Guilleret,U,,FRA,,256395,,, Powers,U,,FRA,,6-3 4-6 6-1,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1928-1261,Wengen,Clay,,W,19280730,1,249260,,, Herzfeld,U,,SUI,,249261,,, Luckward,U,,SUI,,6-2 6-1,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1921-1255,Jeannette,,,W,19210827,1,256306,,, Hill,U,,USA,,227255,,,Pat Harrison Brown,R,,GBR,,6-4 6-0,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1925-1143,Basel,Clay,,W,19250622,1,251974,,, Hoek,U,,SUI,,240965,,,Madeline Oneill,U,,GBR,57.8,6-4 6-4,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1921-1219,Milford,,,W,19210816,1,256241,,, Hoffman,U,,USA,,256242,,, Stapleton,U,,USA,,6-3 3-6 8-6,3,F,,,,,,,,,,,,,,,,,,,,,,,,
